layer,head,k,iou_score,program_idxs_used
1,1,1,0.227,62
1,1,2,0.232,62|9
1,1,3,0.296,62|9|33
1,1,4,0.325,62|9|33|47
1,1,5,0.326,62|9|33|47|6
1,1,6,0.33,62|9|33|47|6|1
1,1,7,0.363,62|9|33|47|6|1|21
1,1,8,0.363,62|9|33|47|6|1|21|68
1,1,9,0.364,62|9|33|47|6|1|21|68|0
1,1,10,0.364,62|9|33|47|6|1|21|68|0|17
1,1,11,0.364,62|9|33|47|6|1|21|68|0|17|41
1,1,12,0.491,62|9|33|47|6|1|21|68|0|17|41|69
1,1,13,0.49,62|9|33|47|6|1|21|68|0|17|41|69|42
1,1,14,0.49,62|9|33|47|6|1|21|68|0|17|41|69|42|5
1,1,15,0.49,62|9|33|47|6|1|21|68|0|17|41|69|42|5|49
1,1,16,0.49,62|9|33|47|6|1|21|68|0|17|41|69|42|5|49|52
1,1,17,0.49,62|9|33|47|6|1|21|68|0|17|41|69|42|5|49|52|59
1,1,18,0.491,62|9|33|47|6|1|21|68|0|17|41|69|42|5|49|52|59|55
1,1,19,0.491,62|9|33|47|6|1|21|68|0|17|41|69|42|5|49|52|59|55|56
1,1,20,0.491,62|9|33|47|6|1|21|68|0|17|41|69|42|5|49|52|59|55|56|23
1,2,1,0.323,62
1,2,2,0.334,62|9
1,2,3,0.356,62|9|47
1,2,4,0.354,62|9|47|1
1,2,5,0.358,62|9|47|1|6
1,2,6,0.399,62|9|47|1|6|21
1,2,7,0.397,62|9|47|1|6|21|0
1,2,8,0.397,62|9|47|1|6|21|0|42
1,2,9,0.629,62|9|47|1|6|21|0|42|69
1,2,10,0.629,62|9|47|1|6|21|0|42|69|41
1,2,11,0.629,62|9|47|1|6|21|0|42|69|41|5
1,2,12,0.629,62|9|47|1|6|21|0|42|69|41|5|49
1,2,13,0.641,62|9|47|1|6|21|0|42|69|41|5|49|33
1,2,14,0.641,62|9|47|1|6|21|0|42|69|41|5|49|33|68
1,2,15,0.641,62|9|47|1|6|21|0|42|69|41|5|49|33|68|17
1,2,16,0.641,62|9|47|1|6|21|0|42|69|41|5|49|33|68|17|52
1,2,17,0.642,62|9|47|1|6|21|0|42|69|41|5|49|33|68|17|52|55
