layer,head,k,iou_score,program_idxs_used
1,7,14,0.56,1|6|21|47|49|0|42|69|41|5|9|70|62|52
1,7,15,0.572,1|6|21|47|49|0|42|69|41|5|9|70|62|52|33
1,7,16,0.573,1|6|21|47|49|0|42|69|41|5|9|70|62|52|33|68
1,7,17,0.573,1|6|21|47|49|0|42|69|41|5|9|70|62|52|33|68|59
1,7,18,0.572,1|6|21|47|49|0|42|69|41|5|9|70|62|52|33|68|59|14
1,7,19,0.573,1|6|21|47|49|0|42|69|41|5|9|70|62|52|33|68|59|14|17
1,7,20,0.576,1|6|21|47|49|0|42|69|41|5|9|70|62|52|33|68|59|14|17|55
1,8,1,0.541,49
1,8,2,0.541,49|42
1,8,3,0.541,49|42|69
1,8,4,0.547,49|42|69|21
1,8,5,0.547,49|42|69|21|1
1,8,6,0.547,49|42|69|21|1|6
1,8,7,0.548,49|42|69|21|1|6|47
1,8,8,0.548,49|42|69|21|1|6|47|0
1,8,9,0.545,49|42|69|21|1|6|47|0|41
1,8,10,0.546,49|42|69|21|1|6|47|0|41|5
1,8,11,0.548,49|42|69|21|1|6|47|0|41|5|62
1,8,12,0.547,49|42|69|21|1|6|47|0|41|5|62|70
1,8,13,0.548,49|42|69|21|1|6|47|0|41|5|62|70|9
1,8,14,0.582,49|42|69|21|1|6|47|0|41|5|62|70|9|59
1,8,15,0.583,49|42|69|21|1|6|47|0|41|5|62|70|9|59|61
1,8,16,0.584,49|42|69|21|1|6|47|0|41|5|62|70|9|59|61|53
1,8,17,0.584,49|42|69|21|1|6|47|0|41|5|62|70|9|59|61|53|22
1,8,18,0.584,49|42|69|21|1|6|47|0|41|5|62|70|9|59|61|53|22|54
1,8,19,0.585,49|42|69|21|1|6|47|0|41|5|62|70|9|59|61|53|22|54|31
1,8,20,0.585,49|42|69|21|1|6|47|0|41|5|62|70|9|59|61|53|22|54|31|20
1,9,1,0.577,49
1,9,2,0.577,49|42
1,9,3,0.577,49|42|69
